fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes,latitude_ref,longitude_ref,amplitude_lat,amplitude_lon,flag_coordenada_variavel,primeiro_ano,ultimo_ano,n_anos_com_dados,n_anos_12_meses,n_anos_300_dias,n_anos_330_dias,media_dias_com_registro,menor_prop_registros_com_valor,media_prop_registros_com_valor,cod_estacao_mp10,estacao_mp10,municipio_mp10,latitude_mp10,longitude_mp10,distancia_km,faixa_distancia
CEMADEN,260790109A,Barra de Jangada,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.22,-8.22,-34.932,-34.932,62494,2017-01-01T03:00:00Z,2024-06-12T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.22,-34.932,0,0,FALSE,2017,2024,8,4,4,3,265.5,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,16.4151703892121,>10-20 km
CEMADEN,260790104A,Prazeres,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.188,-8.188,-34.953,-34.953,82109,2017-01-01T03:00:00Z,2025-12-27T20:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,348,0,-8.188,-34.953,0,0,FALSE,2017,2025,9,7,6,6,301.111111111111,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,18.3054715240763,>10-20 km
CEMADEN,260720803A,Porto de Galinhas,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.507,-8.507,-35.004,-35.004,32805,2017-01-01T03:00:00Z,2020-01-24T09:50:00Z,2017;2018;2019;2020,0,0,2,0,-8.507,-35.004,0,0,FALSE,2017,2020,4,3,3,3,277,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,18.9057426106711,>10-20 km
CEMADEN,260790101A,Muribeca,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.157,-8.157,-34.968,-34.968,70674,2017-01-02T09:00:00Z,2025-12-31T23:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1628,0,-8.157,-34.968,0,0,FALSE,2017,2025,9,4,5,3,272.333333333333,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,20.9669861928011,>20-30 km
CEMADEN,260790110A,Cajueiro Seco,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.168,-8.168,-34.928,-34.928,26155,2017-01-01T03:00:00Z,2020-04-08T05:50:00Z,2017;2018;2019;2020,0,0,2,0,-8.168,-34.928,0,0,FALSE,2017,2020,4,3,1,1,252,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,21.526494091641,>20-30 km
CEMADEN,260720802A,Camela,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.511,-8.511,-35.122,-35.122,44193,2017-01-01T03:00:00Z,2022-06-13T13:10:00Z,2017;2018;2019;2020;2021;2022,0,0,2,0,-8.511,-35.122,0,0,FALSE,2017,2022,6,2,3,2,246.833333333333,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,22.1815563592496,>20-30 km
CEMADEN,260520202A,ESCADA - APAC,ESCADA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.355833,-8.355833,-35.234167,-35.234167,25898,2018-12-05T14:20:00Z,2022-03-24T13:30:00Z,2018;2019;2020;2021;2022,0,0,0,0,-8.355833,-35.234167,0,0,FALSE,2018,2022,5,2,2,2,185.8,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,23.4501600364626,>20-30 km
CEMADEN,260790106A,Piedade,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.154,-8.154,-34.914,-34.914,79772,2017-01-01T03:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1578,0,-8.154,-34.914,0,0,FALSE,2017,2025,9,6,6,6,305.222222222222,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,23.6391454058237,>20-30 km
CEMADEN,260520202H,Escada | Rio Ipojuca,ESCADA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.3643,-8.3643,-35.2366,-35.2366,20628,2017-01-01T03:00:00Z,2019-01-23T17:40:00Z,2017;2018;2019,0,0,2,0,-8.3643,-35.2366,0,0,FALSE,2017,2019,3,1,1,1,159.5,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,23.8143062390191,>20-30 km
CEMADEN,260520201A,Jaguaribe,ESCADA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.369,-8.369,-35.241,-35.241,96156,2017-01-01T03:00:00Z,2025-12-31T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1680,0,-8.369,-35.241,0,0,FALSE,2017,2025,9,8,8,8,348,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,24.3633077125504,>20-30 km
CEMADEN,261160611G,UR12 - COHAB II,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.125,-8.125,-34.954,-34.954,27170,2021-03-15T19:20:00Z,2024-08-10T06:10:00Z,2021;2022;2023;2024,0,0,0,0,-8.125,-34.954,0,0,FALSE,2021,2024,4,1,1,1,227.75,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,24.8200349845841,>20-30 km
CEMADEN,261160615A,Ibura,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.122,-8.122,-34.955,-34.955,74536,2017-01-01T03:00:00Z,2023-11-25T16:40:00Z,2017;2018;2019;2020;2021;2022;2023,0,0,2,0,-8.122,-34.955,0,0,FALSE,2017,2023,7,6,7,6,357.285714285714,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,25.1059637120077,>20-30 km
CEMADEN,261160609G,UR12 - COHAB,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.130699,-8.12152,-34.952228,-34.933022,37555,2019-10-01T00:10:00Z,2023-10-30T14:40:00Z,2019;2020;2021;2022;2023,0,0,0,0,-8.1261095,-34.942625,0.0091789999999996,0.0192059999999969,TRUE,2019,2023,5,3,4,3,295.8,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,25.1088212417555,>20-30 km
CEMADEN,260790107A,Centro,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.112,-8.112,-35.015,-35.015,71145,2017-01-01T03:00:00Z,2025-03-09T16:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.112,-35.015,0,0,FALSE,2017,2025,9,5,6,5,263.333333333333,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,25.1289694080929,>20-30 km
CEMADEN,260790119H,Engenho Velho,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.111846,-8.111846,-35.013613,-35.013613,27979,2023-05-09T14:10:00Z,2025-12-31T23:10:00Z,2023;2024;2025,0,0,1710,0,-8.111846,-35.013613,0,0,FALSE,2023,2025,3,2,2,2,317.333333333333,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,25.1510845960341,>20-30 km
CEMADEN,261160607G,UR2 - COHAB,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.122034,-8.121034,-34.9526,-34.952593,9264,2019-10-01T00:10:00Z,2021-03-15T18:10:00Z,2019;2020;2021,0,0,0,0,-8.121534,-34.9525965,0.000999999999999446,6.99999999653755e-06,FALSE,2019,2021,3,0,0,0,118.333333333333,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,25.2340701650792,>20-30 km
CEMADEN,261160604A,Alto Bela Vista | USF Alto Bela Vista-Ibura,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.123583,-8.123583,-34.941528,-34.941528,65251,2017-01-01T03:00:00Z,2023-07-21T11:10:00Z,2017;2018;2019;2020;2021;2022;2023,0,0,2,0,-8.123583,-34.941528,0,0,FALSE,2017,2023,7,5,5,4,274.5,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,25.4142052023298,>20-30 km
INMET,82897,TAPACURA,"","",CONVENCIONAL,Horaria,Desativada,102,-8.17,-8.17,-35.18,-35.18,9860,2017-01-01T12:00:00Z,2025-12-31T18:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,9860,0,0,0,-8.17,-35.18,0,0,FALSE,2017,2025,9,9,9,9,365.222222222222,0,0,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,25.5268568031694,>20-30 km
CEMADEN,260790115H,Santana,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.1088,-8.1088,-34.99944,-34.99944,30714,2023-05-09T13:10:00Z,2025-12-31T23:10:00Z,2023;2024;2025,0,0,1706,0,-8.1088,-34.99944,0,0,FALSE,2023,2025,3,2,2,2,321,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,25.5921535853615,>20-30 km
CEMADEN,261160606G,Lagoa Encantada - COHAB,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.11785,-8.11784,-34.950142,-34.950131,51955,2019-10-01T00:10:00Z,2025-12-31T23:10:00Z,2019;2020;2021;2022;2023;2024;2025,0,0,1606,0,-8.117845,-34.9501365,1.00000000013978e-05,1.10000000006494e-05,FALSE,2019,2025,7,4,4,4,263.142857142857,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,25.7072030072614,>20-30 km
CEMADEN,260940202A,Centro,MORENO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.118,-8.118,-35.101,-35.101,95068,2017-01-01T03:00:00Z,2025-12-31T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1572,0,-8.118,-35.101,0,0,FALSE,2017,2025,9,8,9,8,355.777777777778,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,25.9581160500464,>20-30 km
CEMADEN,260790101G,Socorro,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.105114,-8.105084,-34.998358,-34.998349,37971,2019-10-01T00:10:00Z,2023-11-30T23:10:00Z,2019;2020;2021;2022;2023,0,0,0,0,-8.105099,-34.9983535,3.00000000006406e-05,9.00000000569889e-06,FALSE,2019,2023,5,1,4,2,265,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,26.0133960031073,>20-30 km
CEMADEN,260790106G,COMPESA - Dois Carneiros,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.110775,-8.110775,-34.964464,-34.964464,7722,2023-11-02T12:10:00Z,2024-07-25T15:00:00Z,2023;2024,0,0,0,0,-8.110775,-34.964464,0,0,FALSE,2023,2024,2,0,0,0,133.5,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,26.0301583337626,>20-30 km
CEMADEN,261160605G,UR3 - Ibura,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.114375,-8.114365,-34.949029,-34.949,40427,2019-10-01T00:10:00Z,2023-10-30T15:10:00Z,2019;2020;2021;2022;2023,0,0,0,0,-8.11437,-34.9490145,1.00000000013978e-05,2.90000000049417e-05,FALSE,2019,2023,5,1,4,1,278,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,26.112864668341,>20-30 km
CEMADEN,260790102G,Alto Vento,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.10031,-8.100284,-34.982633,-34.982616,51601,2019-10-01T00:10:00Z,2024-09-07T01:10:00Z,2019;2020;2021;2022;2023;2024,0,0,0,0,-8.100297,-34.9826245,2.60000000000815e-05,1.69999999997117e-05,FALSE,2019,2024,6,4,4,4,300.333333333333,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,26.7684733084917,>20-30 km
CEMADEN,261160609A,Imbiribeira | UPA da Imbiribeira,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.120975,-8.120975,-34.913983,-34.913983,84302,2017-01-01T03:00:00Z,2025-12-31T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1600,0,-8.120975,-34.913983,0,0,FALSE,2017,2025,9,5,6,4,279.6,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,26.8798622056239,>20-30 km
CEMADEN,260790104G,Alto do Reservatório,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.09872,-8.098711,-34.974788,-34.974641,27132,2019-10-01T00:10:00Z,2025-12-28T23:20:00Z,2019;2020;2021;2023;2024;2025,0,0,244,0,-8.0987155,-34.9747145,9.00000000036982e-06,0.000146999999998343,FALSE,2019,2025,6,2,1,1,184.833333333333,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,27.09494846127,>20-30 km
CEMADEN,260790103A,Cavaleiro,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.096,-8.096,-34.971,-34.971,59863,2017-01-01T03:00:00Z,2024-09-14T03:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.096,-34.971,0,0,FALSE,2017,2024,8,5,5,4,279.375,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,27.4716440115511,>20-30 km
CEMADEN,260790105G,Manassu,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.08619,-8.08619,-35.028697,-35.028697,8239,2020-01-22T08:50:00Z,2021-02-28T23:10:00Z,2020;2021,0,0,0,0,-8.08619,-35.028697,0,0,FALSE,2020,2021,2,0,0,0,157.5,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,27.9981226093012,>20-30 km
CEMADEN,261160608G,Manassu,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.08619,-8.08619,-35.028697,-35.028697,2126,2019-10-01T16:10:00Z,2019-12-31T23:10:00Z,2019,0,0,0,0,-8.08619,-35.028697,0,0,FALSE,2019,2019,1,0,0,0,92,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,27.9981226093012,>20-30 km
CEMADEN,260790102A,Cavaleiro 2 | Cavaleiro2,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.09,-8.09,-34.97,-34.97,74902,2017-01-01T03:00:00Z,2024-07-31T17:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.09,-34.97,0,0,FALSE,2017,2024,8,5,5,4,276.888888888889,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,28.1472732974754,>20-30 km
CEMADEN,261160621A,Areias,RECIFE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.102,-8.102,-34.929,-34.929,84361,2017-01-01T03:00:00Z,2024-12-21T19:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.102,-34.929,0,0,FALSE,2017,2024,8,8,8,8,361.5,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,28.1475280737624,>20-30 km
CEMADEN,260790103G,Curado II,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.08213,-8.082069,-35.002892,-35.002782,42816,2019-10-01T01:50:00Z,2024-03-21T07:10:00Z,2019;2020;2021;2022;2023;2024,0,0,0,0,-8.0820995,-35.002837,6.09999999987565e-05,0.000109999999999388,FALSE,2019,2024,6,4,3,3,255.166666666667,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,28.5190280029409,>20-30 km
CEMADEN,260790108A,Curado 4 | CuradoII,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.08,-8.07105,-34.997,-34.99392,74068,2017-01-01T03:00:00Z,2024-05-13T19:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.075525,-34.99546,0.00895000000000046,0.00307999999999709,FALSE,2017,2024,8,6,6,6,278.666666666667,1,1,15,CPRH,Cabo de Santo Agostinho,-8.33789,-35.02179,29.3172602857367,>20-30 km
CEMADEN,260720801G,Campo do Avião,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.399458,-8.399431,-35.058456,-35.058455,53642,2019-10-01T16:00:00Z,2025-12-31T23:10:00Z,2019;2020;2021;2022;2023;2024;2025,0,0,1580,0,-8.3994445,-35.0584555,2.69999999993331e-05,9.99999997475243e-07,FALSE,2019,2025,7,4,4,4,286.857142857143,1,1,13,EDCUPE,Ipojuca,-8.39754,-35.04313,1.69909448841243,<=5 km
CEMADEN,260720801A,Centro,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.4,-8.4,-35.064,-35.064,89265,2017-01-01T03:00:00Z,2025-12-31T23:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1634,0,-8.4,-35.064,0,0,FALSE,2017,2025,9,7,7,7,331.111111111111,1,1,13,EDCUPE,Ipojuca,-8.39754,-35.04313,2.31199229299342,<=5 km
CEMADEN,260720804A,Rurópolis,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.411,-8.411,-35.07,-35.07,66265,2017-01-01T03:00:00Z,2025-12-31T23:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1484,0,-8.411,-35.07,0,0,FALSE,2017,2025,9,8,6,6,306,1,1,13,EDCUPE,Ipojuca,-8.39754,-35.04313,3.31306361103069,<=5 km
CEMADEN,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.368205,-8.368205,-35.13522,-35.13522,52095,2017-11-09T12:40:00Z,2025-12-30T19:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1564,0,-8.368205,-35.13522,0,0,FALSE,2017,2025,9,4,4,3,203.5,1,1,13,EDCUPE,Ipojuca,-8.39754,-35.04313,10.642748652155,>10-20 km
CEMADEN,260290202A,Charneca,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.297,-8.297,-35.057,-35.057,64475,2017-01-01T03:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1782,0,-8.297,-35.057,0,0,FALSE,2017,2025,9,3,3,3,239.666666666667,1,1,13,EDCUPE,Ipojuca,-8.39754,-35.04313,11.2832131026728,>10-20 km
CEMADEN,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.33,-8.33,-34.956,-34.956,78032,2017-01-01T03:00:00Z,2025-09-19T11:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.33,-34.956,0,0,FALSE,2017,2025,9,6,6,6,301.777777777778,1,1,13,EDCUPE,Ipojuca,-8.39754,-35.04313,12.1770872579976,>10-20 km
CEMADEN,260290203A,Torrinha,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.287,-8.287,-35.033,-35.033,75777,2017-01-01T03:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1660,0,-8.287,-35.033,0,0,FALSE,2017,2025,9,5,4,4,280.333333333333,1,1,13,EDCUPE,Ipojuca,-8.39754,-35.04313,12.3419267993948,>10-20 km
CEMADEN,260720803A,Porto de Galinhas,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.507,-8.507,-35.004,-35.004,32805,2017-01-01T03:00:00Z,2020-01-24T09:50:00Z,2017;2018;2019;2020,0,0,2,0,-8.507,-35.004,0,0,FALSE,2017,2020,4,3,3,3,277,1,1,13,EDCUPE,Ipojuca,-8.39754,-35.04313,12.9099201494164,>10-20 km
CEMADEN,260290201G,Pirapama,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.282054,-8.282031,-35.064685,-35.064672,31017,2019-10-01T00:10:00Z,2025-10-24T10:30:00Z,2019;2020;2021;2023;2024;2025,0,0,390,0,-8.2820425,-35.0646785,2.30000000005504e-05,1.29999999955999e-05,FALSE,2019,2025,6,2,2,2,214.833333333333,1,1,13,EDCUPE,Ipojuca,-8.39754,-35.04313,13.0597386932039,>10-20 km
CEMADEN,260720802A,Camela,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.511,-8.511,-35.122,-35.122,44193,2017-01-01T03:00:00Z,2022-06-13T13:10:00Z,2017;2018;2019;2020;2021;2022,0,0,2,0,-8.511,-35.122,0,0,FALSE,2017,2022,6,2,3,2,246.833333333333,1,1,13,EDCUPE,Ipojuca,-8.39754,-35.04313,15.3107152412702,>10-20 km
CEMADEN,260290206A,CABO DE SANTO AGOSTINHO - APAC,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.280706,-8.280706,-35.159274,-35.159274,411,2019-05-02T14:10:00Z,2020-08-10T14:50:00Z,2019;2020,0,0,0,0,-8.280706,-35.159274,0,0,FALSE,2019,2020,2,0,0,0,16.5,1,1,13,EDCUPE,Ipojuca,-8.39754,-35.04313,18.222382790197,>10-20 km
